logN                Higgs      VBF     WHminus     WHplus      WH      ZH      ggH     ggZZ    qqZZ    ZPlusX      HZZd_M*        ppZZd4l_M*        HZZd_M25        HZZd_M30    HZZd_M4     HZZd_M7    HToZdZd_M* 
lumi_13TeV_2017     0.020      0.020   0.020       0.020       0.020   0.020   0.020   0.020   0.020   -           0.020           0.020           0.020           0.020       0.020       0.020       0.020
lumi_XY_13TeV  0.008      0.008   0.008       0.008       0.008   0.008   0.008   0.008   0.008   -           0.008           0.008           0.008           0.008       0.008       0.008       0.008
lumi_LenScale_13TeV  0.003      0.003   0.003       0.003       0.003   0.003   0.003   0.003   0.003   -           0.003           0.003           0.003           0.003       0.003       0.003       0.003
lumi_BeamDefl_13TeV  0.004      0.004   0.004       0.004       0.004   0.004   0.004   0.004   0.004   -           0.004           0.004           0.004           0.004       0.004       0.004       0.004
lumi_Dynamic_13TeV  0.005      0.005   0.005       0.005       0.005   0.005   0.005   0.005   0.005   -           0.005           0.005           0.005           0.005       0.005       0.005       0.005
lumi_BeamCali_13TeV  0.003      0.003   0.003       0.003       0.003   0.003   0.003   0.003   0.003   -           0.003           0.003           0.003           0.003       0.003       0.003       0.003
lumi_Ghost_13TeV  0.001      0.001   0.001       0.001       0.001   0.001   0.001   0.001   0.001   -           0.001           0.001           0.001           0.001       0.001       0.001       0.001
FakeRate            -          -       -           -           -       -       -       -       -       0.780       -               -               -               -           -           -           -
Closure         -          -       -           -           -       -       -       -       -       0.48       -               -               -               -           -           -           -
QCDscale_qqZZ   -          -       -           -           -       -       -       -       0.042   -           -               -               -               -           -           -           -
pdf_qqbar       -          -       -           -           -       -       -       -       0.034   -           -               -               -               -           -           -           -
EWcorr_VV       -          -       -           -           -       -       -       -       0.001   -           -               -               -               -           -           -           -
Interference     -          -       -           -           -       -       -       -       -       -           0.05            0.05            0.05            0.05        0.05        0.05        0.05
ThUnc     -          -       -           -           -       -       -       -       -       -           0.20            0.20            0.20            0.20        0.20        0.20        0.20
